title,price,image_url,description,sku,inventory,category,tags,seo_title,seo_description
"Classic Teal T-Shirt",499,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/teal-tshirt.jpg","Premium quality teal colored t-shirt made from 100% cotton. Comfortable fit for everyday wear.","TEAL-TS-001",50,"Apparel","tshirt,casual,cotton,teal","Teal T-Shirt - Premium Cotton","High-quality teal t-shirt perfect for casual wear. Made from 100% cotton."
"Cyan Hoodie",799,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/cyan-hoodie.jpg","Cozy cyan hoodie with kangaroo pocket. Perfect for cold weather.","CYAN-HD-001",30,"Apparel","hoodie,casual,cyan,warm","Cyan Hoodie - Cozy & Warm","Comfortable cyan hoodie ideal for winter. Features kangaroo pocket."
"Teal Sneakers",1299,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/teal-sneakers.jpg","Stylish teal sneakers with cushioned sole. Great for sports and casual activities.","TEAL-SN-001",25,"Footwear","sneakers,sports,teal,casual","Teal Sneakers - Comfortable & Stylish","Premium teal sneakers with cushioned sole for maximum comfort."
"Cyan Backpack",1599,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/cyan-backpack.jpg","Spacious cyan backpack with multiple compartments. Perfect for travel and daily use.","CYAN-BP-001",20,"Accessories","backpack,travel,cyan,storage","Cyan Backpack - Spacious & Durable","Large capacity cyan backpack with multiple pockets for organization."
"Teal Cap",299,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/teal-cap.jpg","Classic teal baseball cap with adjustable strap. Protects from sun.","TEAL-CP-001",100,"Accessories","cap,baseball,teal,sun-protection","Teal Baseball Cap - Classic Style","Adjustable teal cap perfect for outdoor activities and sun protection."
"Cyan Socks Pack",199,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/cyan-socks.jpg","Pack of 3 pairs of comfortable cyan socks. Made from breathable cotton blend.","CYAN-SK-003",75,"Apparel","socks,pack,cyan,cotton","Cyan Socks Pack - Comfortable & Breathable","3-pair pack of breathable cyan socks made from cotton blend."
"Teal Water Bottle",399,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/teal-bottle.jpg","Insulated teal water bottle keeps drinks cold for 24 hours. Eco-friendly design.","TEAL-WB-001",40,"Accessories","bottle,water,teal,insulated,eco-friendly","Teal Water Bottle - Insulated & Eco-Friendly","Durable insulated water bottle in teal color. Keeps drinks cold for 24 hours."
"Cyan Joggers",699,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/cyan-joggers.jpg","Comfortable cyan joggers with elastic waistband. Perfect for workouts and casual wear.","CYAN-JG-001",35,"Apparel","joggers,casual,cyan,comfortable","Cyan Joggers - Comfortable & Stylish","Soft cyan joggers with elastic waistband ideal for workouts and relaxation."
"Teal Sunglasses",899,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/teal-sunglasses.jpg","UV protection teal sunglasses with polarized lenses. Stylish and protective.","TEAL-SG-001",15,"Accessories","sunglasses,uv-protection,teal,polarized","Teal Sunglasses - UV Protection","Stylish teal sunglasses with polarized lenses and UV protection."
"Cyan Beanie",349,"https://lpbvjfuyhrjddmgrrped.supabase.co/storage/v1/object/public/public_files/products/cyan-beanie.jpg","Warm cyan beanie made from soft wool blend. Perfect for winter.","CYAN-BN-001",45,"Apparel","beanie,winter,cyan,warm","Cyan Beanie - Warm & Cozy","Soft cyan beanie made from wool blend. Ideal for cold weather."

